   0.0000000e+00   0.0000000e+00
   2.0896116e+01   5.5937437e+01
   4.1792232e+01   1.1126237e+02
   6.2688348e+01   1.6597481e+02
   8.3584464e+01   2.2007475e+02
   1.0448058e+02   2.7356219e+02
   1.2537670e+02   3.2643712e+02
   1.4627281e+02   3.7869956e+02
   1.6716893e+02   4.3034950e+02
   1.8806504e+02   4.8138693e+02
   2.0896116e+02   5.3181187e+02
   2.2985728e+02   5.8162431e+02
   2.5075339e+02   6.3082424e+02
   2.7164951e+02   6.7941168e+02
   2.9254562e+02   7.2738662e+02
   3.1344174e+02   7.7474906e+02
   3.3433786e+02   8.2149899e+02
   3.5523397e+02   8.6763643e+02
   3.7613009e+02   9.1316137e+02
   3.9702620e+02   9.5807380e+02
   4.1792232e+02   1.0023737e+03
   4.3881844e+02   1.0460612e+03
   4.5971455e+02   1.0891361e+03
   4.8061067e+02   1.1315986e+03
   5.0150678e+02   1.1734485e+03
   5.2240290e+02   1.2146859e+03
   5.4329902e+02   1.2553109e+03
   5.6419513e+02   1.2953233e+03
   5.8509125e+02   1.3347232e+03
   6.0598736e+02   1.3735107e+03
   6.2688348e+02   1.4116856e+03
   6.4777960e+02   1.4492480e+03
   6.6867571e+02   1.4861980e+03
   6.8957183e+02   1.5225354e+03
   7.1046794e+02   1.5582604e+03
   7.3136406e+02   1.5933728e+03
   7.5226018e+02   1.6278727e+03
   7.7315629e+02   1.6617602e+03
   7.9405241e+02   1.6950351e+03
   8.1494853e+02   1.7276975e+03
   8.3584464e+02   1.7597475e+03
   8.5674076e+02   1.7911849e+03
   8.7763687e+02   1.8220099e+03
   8.9853299e+02   1.8522223e+03
   9.1942911e+02   1.8818222e+03
   9.4032522e+02   1.9108097e+03
   9.6122134e+02   1.9391846e+03
   9.8211745e+02   1.9669470e+03
   1.0030136e+03   1.9940970e+03
   1.0239097e+03   2.0206344e+03
   1.0448058e+03   2.0465594e+03
   1.0657019e+03   2.0718718e+03
   1.0865980e+03   2.0965717e+03
   1.1074941e+03   2.1206592e+03
   1.1283903e+03   2.1441341e+03
   1.1492864e+03   2.1669965e+03
   1.1701825e+03   2.1892465e+03
   1.1910786e+03   2.2108839e+03
   1.2119747e+03   2.2319088e+03
   1.2328708e+03   2.2523213e+03
   1.2537670e+03   2.2721212e+03
   1.2746631e+03   2.2913087e+03
   1.2955592e+03   2.3098836e+03
   1.3164553e+03   2.3278460e+03
   1.3373514e+03   2.3451960e+03
   1.3582475e+03   2.3619334e+03
   1.3791437e+03   2.3780583e+03
   1.4000398e+03   2.3935708e+03
   1.4209359e+03   2.4084707e+03
   1.4418320e+03   2.4227582e+03
   1.4627281e+03   2.4364331e+03
   1.4836242e+03   2.4494955e+03
   1.5045204e+03   2.4619455e+03
   1.5254165e+03   2.4737829e+03
   1.5463126e+03   2.4850078e+03
   1.5672087e+03   2.4956203e+03
   1.5881048e+03   2.5056202e+03
   1.6090009e+03   2.5150077e+03
   1.6298971e+03   2.5237826e+03
   1.6507932e+03   2.5319450e+03
   1.6716893e+03   2.5394950e+03
   1.6925854e+03   2.5464324e+03
   1.7134815e+03   2.5527573e+03
