   0.0000000e+00   0.0000000e+00
   5.2043131e+01   2.9551957e+01
   1.0408626e+02   5.8491414e+01
   1.5612939e+02   8.6818371e+01
   2.0817252e+02   1.1453283e+02
   2.6021565e+02   1.4163479e+02
   3.1225879e+02   1.6812424e+02
   3.6430192e+02   1.9400120e+02
   4.1634505e+02   2.1926566e+02
   4.6838818e+02   2.4391761e+02
   5.2043131e+02   2.6795707e+02
   5.7247444e+02   2.9138403e+02
   6.2451757e+02   3.1419848e+02
   6.7656070e+02   3.3640044e+02
   7.2860383e+02   3.5798990e+02
   7.8064696e+02   3.7896686e+02
   8.3269009e+02   3.9933131e+02
   8.8473322e+02   4.1908327e+02
   9.3677636e+02   4.3822273e+02
   9.8881949e+02   4.5674968e+02
   1.0408626e+03   4.7466414e+02
   1.0929057e+03   4.9196610e+02
   1.1449489e+03   5.0865556e+02
   1.1969920e+03   5.2473251e+02
   1.2490351e+03   5.4019697e+02
   1.3010783e+03   5.5504893e+02
   1.3531214e+03   5.6928838e+02
   1.4051645e+03   5.8291534e+02
   1.4572077e+03   5.9592980e+02
   1.5092508e+03   6.0833176e+02
   1.5612939e+03   6.2012121e+02
   1.6133371e+03   6.3129817e+02
   1.6653802e+03   6.4186263e+02
   1.7174233e+03   6.5181458e+02
   1.7694664e+03   6.6115404e+02
   1.8215096e+03   6.6988100e+02
   1.8735527e+03   6.7799545e+02
   1.9255958e+03   6.8549741e+02
   1.9776390e+03   6.9238687e+02
   2.0296821e+03   6.9866383e+02
   2.0817252e+03   7.0432828e+02
   2.1337684e+03   7.0938024e+02
   2.1858115e+03   7.1381970e+02
   2.2378546e+03   7.1764665e+02
   2.2898978e+03   7.2086111e+02
   2.3419409e+03   7.2346307e+02
   2.3939840e+03   7.2545253e+02
   2.4460272e+03   7.2682948e+02
   2.4980703e+03   7.2759394e+02
   2.5501134e+03   7.2774590e+02
   2.6021565e+03   7.2728535e+02
   2.6541997e+03   7.2621231e+02
   2.7062428e+03   7.2452677e+02
   2.7582859e+03   7.2222873e+02
   2.8103291e+03   7.1931818e+02
   2.8623722e+03   7.1579514e+02
   2.9144153e+03   7.1165960e+02
   2.9664585e+03   7.0691155e+02
   3.0185016e+03   7.0155101e+02
   3.0705447e+03   6.9557797e+02
   3.1225879e+03   6.8899242e+02
   3.1746310e+03   6.8179438e+02
   3.2266741e+03   6.7398384e+02
   3.2787172e+03   6.6556080e+02
   3.3307604e+03   6.5652525e+02
   3.3828035e+03   6.4687721e+02
   3.4348466e+03   6.3661667e+02
   3.4868898e+03   6.2574362e+02
   3.5389329e+03   6.1425808e+02
   3.5909760e+03   6.0216004e+02
